iter	MultiClass
0	0.6890900044
1	0.6855955423
2	0.6819414604
3	0.6785478029
4	0.6755837724
5	0.6731497257
6	0.6703182522
7	0.6671373993
8	0.6642601036
9	0.6609180719
10	0.6580920721
11	0.6554171092
12	0.6528432294
13	0.6503955351
14	0.648595678
15	0.645576591
16	0.6425177515
17	0.6405013748
18	0.6377968047
19	0.6362585268
20	0.6335673397
21	0.6312832575
22	0.6287679144
23	0.6261338727
24	0.6244834255
25	0.6218589362
26	0.6191468936
27	0.6162349272
28	0.6139919092
29	0.6124711204
30	0.6101177331
31	0.6073547907
32	0.6049852967
33	0.6029670905
34	0.6002056536
35	0.5978248334
36	0.595611348
37	0.593569773
38	0.59177418
39	0.5894562398
40	0.5871016252
41	0.5850067104
42	0.5830444892
43	0.5807614113
44	0.5786554245
45	0.5765918338
46	0.575617409
47	0.5740206972
48	0.5725787528
49	0.5702678423
50	0.5675641086
51	0.5654787475
52	0.5636180311
53	0.5616796446
54	0.5602890627
55	0.5585004413
56	0.5572746464
57	0.5558674441
58	0.5543773214
59	0.5522970371
60	0.550380643
61	0.5485684327
62	0.5462702846
63	0.5447726655
64	0.5429079913
65	0.5411819559
66	0.5395920522
67	0.5376563945
68	0.5361620898
69	0.5352147584
70	0.533510451
71	0.5323695258
72	0.5306005661
73	0.5299325918
74	0.5287883486
75	0.5270780024
76	0.5249725443
77	0.5235211733
78	0.5219798551
79	0.5205167441
80	0.5191387637
81	0.5175699915
82	0.5164191051
83	0.514521583
84	0.5129109031
85	0.5115537492
86	0.5099752943
87	0.5084653696
88	0.5073321351
89	0.5059173873
90	0.5045930172
91	0.5033090876
92	0.5018800312
93	0.5009135322
94	0.4995912848
95	0.4981275217
96	0.4964031801
97	0.4947995876
98	0.4933681109
99	0.491969616
100	0.4906525471
101	0.4894477399
102	0.4878230443
103	0.4866274182
104	0.4857392737
105	0.4847690343
106	0.4839326228
107	0.4831769402
108	0.4819496863
109	0.4808041333
110	0.4796230869
111	0.4788496808
112	0.4774920454
113	0.4761443069
114	0.4747184241
115	0.473414499
116	0.4718431804
117	0.4710775718
118	0.4702789346
119	0.469063674
120	0.4680855539
121	0.4667421214
122	0.4658010277
123	0.4650580439
124	0.4640548738
125	0.4626203816
126	0.461671931
127	0.4604265755
128	0.459603922
129	0.458732399
130	0.4578019207
131	0.4567408267
132	0.4555720486
133	0.4547628184
134	0.4537855257
135	0.4528493087
136	0.4520705495
137	0.4510869663
138	0.4504363599
139	0.4492640261
140	0.448318617
141	0.4473430216
142	0.4466401568
143	0.4455330492
144	0.4445068766
145	0.4440424356
146	0.443120978
147	0.4425839789
148	0.4421222617
149	0.4414778381
150	0.4405535372
151	0.4397235265
152	0.4390184567
153	0.4382826083
154	0.4373539493
155	0.4364262548
156	0.4355667262
157	0.4348378492
158	0.434070542
159	0.4335075935
160	0.4329025494
161	0.4322166035
162	0.4314553365
163	0.4307702309
164	0.4299670643
165	0.4293893195
166	0.4287703971
167	0.4282505068
168	0.4277108649
169	0.4270175251
170	0.4262695441
171	0.4255512045
172	0.4248509216
173	0.4241459085
174	0.423568694
175	0.4230803132
176	0.4227830341
177	0.4221002858
178	0.4214689844
179	0.4209016872
180	0.4203883836
181	0.4197363721
182	0.4192684869
183	0.4184705197
184	0.4176374241
185	0.4170181876
186	0.4164677278
187	0.4156994852
188	0.4148292332
189	0.4142557829
190	0.4134726923
191	0.4126959503
192	0.4119294711
193	0.4114721849
194	0.4109379327
195	0.4103483228
196	0.4095669092
197	0.4086108097
198	0.4078150066
199	0.4071482243
200	0.4066730562
201	0.4061228996
202	0.4059623055
203	0.4053482662
204	0.4046871601
205	0.4042702368
206	0.4038526932
207	0.4033850288
208	0.4026159959
209	0.401931926
210	0.4013201424
211	0.4006080872
212	0.3999771389
213	0.3992864039
214	0.3989517155
215	0.3987327129
216	0.3982092349
217	0.3976008504
218	0.3968061347
219	0.3963322786
220	0.3958795186
221	0.3954876594
222	0.3948952687
223	0.394374082
224	0.3936404662
225	0.3928966332
226	0.39251057
227	0.3918570307
228	0.3913479644
229	0.3905888272
230	0.3901038428
231	0.38960424
232	0.3890208227
233	0.3885526561
234	0.387797582
235	0.3871144681
236	0.3866836857
237	0.3862490095
238	0.3857915261
239	0.3855075243
240	0.3849939843
241	0.3844123548
242	0.3837697153
243	0.3833065011
244	0.3826749434
245	0.3822744279
246	0.3817607622
247	0.3813156282
248	0.3808551948
249	0.380200491
250	0.3797641671
251	0.3793395902
252	0.3788173839
253	0.378254222
254	0.3775672377
255	0.37689575
256	0.376473204
257	0.3760691861
258	0.3756733677
259	0.3753064519
260	0.3750908166
261	0.3748642799
262	0.3744707269
263	0.3741669989
264	0.3736521707
265	0.3734388782
266	0.3730623153
267	0.3726773978
268	0.3722415807
269	0.371740542
270	0.3713087187
271	0.3709666844
272	0.3704981792
273	0.3699534407
274	0.3694261588
275	0.3689879734
276	0.368275504
277	0.3679845601
278	0.3676769861
279	0.3671370794
280	0.3667654605
281	0.3663889979
282	0.3661265653
283	0.3656997842
284	0.3652641171
285	0.3648841577
286	0.3645830936
287	0.3641878036
288	0.363922627
289	0.3636157603
290	0.3633832292
291	0.3629931377
292	0.3626119601
293	0.3621885681
294	0.3618085899
295	0.3613312314
296	0.361118293
297	0.3605806498
298	0.3600868363
299	0.3597335158
300	0.3592709331
301	0.3589894763
302	0.3586994084
303	0.358228064
304	0.3578368964
305	0.3575253751
306	0.3571945541
307	0.3567527145
308	0.3563059469
309	0.3559394182
310	0.3556303389
311	0.3552667696
312	0.3548447746
313	0.3545774411
314	0.3543472207
315	0.3540122184
316	0.3535558069
317	0.3532078296
318	0.3528959424
319	0.3523479803
320	0.3518533434
321	0.3516166734
322	0.3511615079
