iter	Passed	Remaining
0	0	243
1	0	212
2	0	195
3	0	182
4	0	172
5	1	165
6	1	163
7	1	160
8	1	157
9	1	155
10	1	153
11	1	151
12	1	149
13	2	149
14	2	148
15	2	146
16	2	147
17	2	148
18	2	147
19	2	146
20	3	145
21	3	144
22	3	144
23	3	144
24	3	147
25	3	148
26	4	148
27	4	147
28	4	147
29	4	147
30	4	146
31	4	146
32	4	145
33	5	145
34	5	146
35	5	145
36	5	145
37	5	144
38	5	144
39	5	143
40	6	143
41	6	143
42	6	142
43	6	142
44	6	144
45	7	145
46	7	145
47	7	145
48	7	145
49	7	145
50	7	145
51	7	145
52	8	145
53	8	144
54	8	144
55	8	144
56	8	143
57	8	143
58	8	143
59	9	142
60	9	142
61	9	142
62	9	141
63	9	141
64	9	141
65	9	140
66	10	140
67	10	140
68	10	139
69	10	141
70	10	141
71	10	140
72	11	140
73	11	140
74	11	140
75	11	140
76	11	141
77	12	142
78	12	143
79	12	143
80	12	143
81	12	143
82	12	142
83	13	143
84	13	143
85	13	143
86	13	143
87	13	142
88	13	142
89	14	142
90	14	143
91	14	143
92	14	143
93	14	143
94	15	143
95	15	142
96	15	143
97	15	142
98	15	142
99	15	143
100	16	142
101	16	142
102	16	142
103	16	142
104	16	142
105	16	141
106	16	141
107	17	141
108	17	140
109	17	140
110	17	140
111	17	140
112	17	140
113	18	139
114	18	139
115	18	139
116	18	139
117	18	138
118	18	138
119	18	138
120	19	138
121	19	137
122	19	137
123	19	137
124	19	136
125	19	136
126	19	136
127	19	136
128	20	135
129	20	135
130	20	135
131	20	135
132	20	136
133	21	136
134	21	135
135	21	135
136	21	135
137	21	135
138	21	135
139	21	134
140	22	134
141	22	134
142	22	134
143	22	133
144	22	133
145	22	133
146	23	133
147	23	133
148	23	133
149	23	132
150	23	132
151	23	132
152	23	132
153	23	131
154	24	131
155	24	132
156	24	132
157	24	132
158	24	131
159	25	131
160	25	131
161	25	134
162	26	137
163	27	138
164	27	137
165	27	137
166	27	137
167	27	137
168	27	136
169	27	136
170	28	136
171	28	135
172	28	135
173	28	137
174	29	139
175	29	139
176	30	141
177	30	142
178	31	142
179	31	143
180	31	143
181	31	143
182	31	142
183	32	142
184	32	142
185	32	141
186	32	141
187	32	141
188	32	141
189	33	140
190	33	140
191	33	140
192	33	139
193	33	139
194	33	139
195	33	138
196	33	138
197	34	138
198	34	137
199	34	137
200	34	137
201	34	137
202	35	139
203	36	140
204	36	140
205	36	142
206	37	143
207	38	146
208	38	145
209	38	145
210	38	145
211	38	144
212	39	144
213	39	144
214	39	143
215	39	143
216	39	143
217	40	145
218	40	146
219	41	146
220	41	147
221	41	146
222	42	146
223	42	146
224	42	145
225	42	145
226	42	145
227	42	144
228	42	144
229	43	144
230	43	143
231	43	143
232	43	143
233	43	142
234	43	142
235	43	142
236	44	141
237	44	141
238	44	141
239	44	140
240	44	140
241	44	140
242	45	140
243	45	140
244	45	140
245	45	139
246	45	139
247	45	139
248	46	139
249	46	139
250	46	139
251	46	139
252	47	139
253	47	138
254	47	138
255	47	138
256	47	137
257	47	137
258	47	137
259	48	136
260	48	136
261	48	136
262	48	135
263	48	135
264	48	135
265	48	135
266	49	136
267	50	136
268	50	137
269	51	138
270	51	138
271	51	139
272	52	139
273	52	139
274	52	138
275	52	138
276	53	138
277	53	138
278	54	139
279	54	140
280	54	140
281	55	140
282	55	139
283	55	139
284	55	139
285	55	139
286	55	138
287	55	138
288	56	138
289	56	137
290	56	137
291	56	137
292	56	136
293	56	136
294	56	136
295	57	135
296	57	135
297	57	135
298	57	134
299	57	134
300	57	134
301	57	133
302	58	133
303	58	133
304	58	132
305	58	132
306	59	133
307	59	133
308	59	133
309	59	133
310	60	132
311	60	132
312	60	132
313	60	132
314	60	131
315	60	131
316	60	131
317	60	130
318	61	130
319	61	130
320	61	129
321	61	129
322	61	129
323	61	129
324	61	128
325	62	128
326	62	128
327	62	127
328	62	127
329	62	127
330	63	128
331	64	129
332	64	129
333	64	129
334	64	128
335	65	128
336	65	128
337	65	127
338	65	127
339	65	127
340	65	127
341	65	126
342	66	126
343	66	126
344	66	125
345	66	126
346	67	126
347	67	126
348	68	126
349	68	126
350	69	127
351	69	127
352	70	128
353	70	128
354	70	128
355	70	127
356	70	127
357	71	127
358	71	127
359	71	126
360	71	126
361	71	126
362	71	125
363	71	125
364	72	125
365	72	125
366	72	124
367	72	124
368	72	124
369	72	124
370	73	124
371	74	125
372	75	126
373	75	126
374	75	126
375	75	125
376	76	125
377	76	125
378	76	125
379	76	124
380	76	124
381	76	124
382	77	124
383	77	123
384	77	123
385	77	123
386	77	122
387	77	122
388	78	123
389	79	124
390	79	124
391	80	124
392	80	123
393	80	123
394	80	123
395	80	123
396	80	122
397	80	122
398	81	122
399	81	122
400	81	121
401	81	121
402	81	121
403	82	121
404	82	121
405	82	121
406	83	121
407	83	121
408	83	121
409	84	120
410	84	120
411	84	120
412	84	120
413	84	119
414	84	119
415	84	119
416	85	118
417	85	118
418	85	118
419	85	118
420	86	118
421	86	118
422	86	118
423	86	118
424	87	117
425	87	117
426	87	117
427	87	117
428	88	117
429	88	117
430	89	117
431	89	117
432	89	116
433	89	116
434	89	116
435	89	116
436	89	115
437	90	115
438	90	115
439	90	114
440	90	114
441	90	114
442	91	114
443	91	114
444	91	114
445	91	113
446	91	113
447	91	113
448	91	112
449	92	112
450	92	113
451	93	113
452	93	113
453	94	113
454	94	112
455	94	112
456	94	112
457	94	112
458	94	111
459	94	111
460	95	111
461	95	110
462	95	110
463	95	110
464	96	110
465	96	110
466	97	111
467	97	111
468	98	111
469	98	110
470	98	110
471	98	110
472	98	109
473	98	109
474	99	109
475	99	109
476	99	109
477	99	108
478	99	108
479	100	108
480	100	108
481	100	108
482	100	107
483	101	108
484	101	107
485	101	107
486	102	107
487	102	107
488	102	107
489	102	106
490	103	107
491	103	107
492	103	106
493	104	107
494	104	106
495	104	106
496	105	106
497	105	106
498	105	105
499	105	105
500	105	105
501	105	105
502	106	104
503	106	104
504	106	104
505	106	103
506	106	103
507	106	103
508	107	103
509	107	103
510	107	102
511	108	103
512	108	103
513	109	103
514	109	103
515	109	102
516	109	102
517	109	102
518	110	102
519	110	101
520	110	101
521	110	101
522	110	100
523	110	100
524	110	100
525	111	100
526	111	99
527	111	99
528	111	99
529	111	99
530	112	99
531	112	99
532	113	99
533	113	99
534	114	99
535	114	99
536	114	98
537	114	98
538	115	98
539	115	98
540	115	98
541	116	98
542	116	98
543	117	98
544	117	98
545	117	98
546	118	97
547	118	97
548	118	97
549	118	97
550	118	96
551	119	96
552	119	96
553	119	96
554	119	95
555	119	95
556	119	95
557	119	94
558	120	94
559	120	94
560	120	94
561	120	93
562	120	93
563	120	93
564	120	93
565	121	93
566	122	93
567	123	93
568	123	93
569	124	93
570	125	93
571	125	93
572	126	94
573	127	94
574	127	94
575	128	94
576	128	94
577	128	94
578	129	93
579	129	93
580	129	93
581	129	92
582	129	92
583	129	92
584	129	92
585	129	91
586	130	91
587	130	91
588	130	91
589	130	90
590	130	90
591	130	90
592	131	90
593	131	89
594	132	89
595	132	89
596	132	89
597	132	89
598	132	88
599	133	88
600	133	88
601	133	88
602	133	87
603	133	87
604	133	87
605	133	87
606	134	86
607	134	86
608	134	86
609	134	86
610	134	85
611	134	85
612	135	85
613	135	84
614	135	84
615	135	84
616	135	84
617	135	83
618	135	83
619	135	83
620	136	83
621	136	82
622	136	82
623	136	82
624	136	82
625	136	81
626	136	81
627	137	81
628	137	80
629	137	80
630	137	80
631	138	80
632	138	80
633	139	80
634	139	79
635	139	79
636	139	79
637	139	79
638	139	78
639	140	78
640	140	78
641	141	78
642	141	78
643	141	78
644	142	78
645	142	77
646	142	77
647	142	77
648	142	77
649	142	76
650	143	76
651	143	76
652	143	76
653	143	75
654	143	75
655	143	75
656	143	75
657	144	75
658	144	74
659	144	74
660	145	74
661	146	74
662	146	74
663	146	74
664	147	74
665	147	74
666	148	73
667	148	73
668	148	73
669	148	73
670	148	72
671	148	72
672	148	72
673	149	72
674	149	71
675	149	71
676	150	71
677	150	71
678	150	71
679	150	70
680	150	70
681	150	70
682	151	70
683	151	69
684	151	69
685	151	69
686	151	69
687	151	68
688	151	68
689	152	68
690	152	68
691	152	67
692	152	67
693	152	67
694	152	67
695	152	66
696	153	66
697	153	66
698	153	66
699	153	65
700	153	65
701	153	65
702	154	65
703	154	64
704	154	64
705	154	64
706	154	64
707	154	63
708	154	63
709	155	63
710	155	63
711	155	62
712	155	62
713	155	62
714	155	62
715	155	61
716	156	61
717	156	61
718	156	61
719	156	60
720	156	60
721	157	60
722	157	60
723	157	59
724	157	59
725	157	59
726	157	59
727	158	59
728	158	58
729	158	58
730	158	58
731	158	58
732	158	57
733	159	57
734	159	57
735	159	57
736	159	57
737	159	56
738	160	56
739	160	56
740	160	56
741	160	55
742	160	55
743	160	55
744	161	55
745	161	54
746	161	54
747	161	54
748	161	54
749	161	53
750	162	53
751	162	53
752	162	53
753	162	53
754	162	52
755	162	52
756	162	52
757	163	52
758	163	51
759	163	51
760	163	51
761	163	51
762	163	50
763	164	50
764	164	50
765	164	50
766	164	49
767	164	49
768	164	49
769	164	49
770	165	49
771	165	48
772	165	48
773	165	48
774	165	48
775	165	47
776	165	47
777	166	47
778	166	47
779	166	46
780	166	46
781	166	46
782	166	46
783	167	46
784	167	45
785	167	45
786	167	45
787	167	45
788	167	44
789	167	44
790	168	44
791	168	44
792	168	43
793	168	43
794	168	43
795	169	43
796	169	43
797	170	43
798	170	42
799	170	42
800	170	42
801	170	42
802	171	41
803	171	41
804	171	41
805	171	41
806	171	41
807	171	40
808	172	40
809	172	40
810	172	40
811	172	39
812	172	39
813	173	39
814	173	39
815	173	39
816	173	38
817	174	38
818	174	38
819	175	38
820	175	38
821	175	38
822	175	37
823	175	37
824	176	37
825	176	37
826	176	36
827	176	36
828	176	36
829	176	36
830	176	35
831	177	35
832	177	35
833	177	35
834	177	35
835	177	34
836	178	34
837	178	34
838	179	34
839	179	34
840	180	34
841	180	33
842	180	33
843	180	33
844	180	33
845	180	32
846	180	32
847	181	32
848	181	32
849	182	32
850	182	32
851	183	31
852	184	31
853	184	31
854	185	31
855	186	31
856	186	31
857	187	31
858	187	30
859	187	30
860	188	30
861	188	30
862	188	29
863	189	29
864	190	29
865	190	29
866	191	29
867	191	29
868	192	29
869	193	28
870	194	28
871	194	28
872	194	28
873	195	28
874	195	27
875	195	27
876	195	27
877	195	27
878	195	26
879	195	26
880	196	26
881	196	26
882	196	26
883	196	25
884	196	25
885	196	25
886	197	25
887	197	24
888	197	24
889	197	24
890	198	24
891	198	24
892	198	23
893	199	23
894	199	23
895	199	23
896	199	22
897	199	22
898	199	22
899	200	22
900	200	21
901	200	21
902	200	21
903	200	21
904	200	21
905	200	20
906	201	20
907	201	20
908	201	20
909	201	19
910	201	19
911	201	19
912	201	19
913	201	19
914	202	18
915	202	18
916	203	18
917	203	18
918	204	17
919	204	17
920	204	17
921	205	17
922	205	17
923	206	16
924	206	16
925	207	16
926	208	16
927	209	16
928	209	16
929	210	15
930	211	15
931	211	15
932	211	15
933	211	14
934	212	14
935	212	14
936	212	14
937	213	14
938	214	13
939	214	13
940	215	13
941	216	13
942	216	13
943	217	12
944	218	12
945	219	12
