iter	MultiClass
0	0.6899639852
1	0.6868961473
2	0.6831822542
3	0.6797802289
4	0.676575402
5	0.6732292115
6	0.6713654544
7	0.6681112325
8	0.6650862615
9	0.6610640055
10	0.6583822618
11	0.6559936851
12	0.6529456866
13	0.6501841802
14	0.6467627857
15	0.643469595
16	0.6410707556
17	0.638297332
18	0.6356698185
19	0.6327418382
20	0.6304396088
21	0.6279621494
22	0.6255356345
23	0.6240715399
24	0.620926842
25	0.6184990639
26	0.6154681053
27	0.6130847448
28	0.6108584543
29	0.6097609266
30	0.6071287132
31	0.604903148
32	0.6028449719
33	0.6003396616
34	0.5979774464
35	0.5957909552
36	0.5938787418
37	0.5925373932
38	0.5901661978
39	0.589269986
40	0.5866524128
41	0.5845123473
42	0.5820456008
43	0.5801427358
44	0.5783734686
45	0.5765171597
46	0.5745918686
47	0.5722172604
48	0.5701535004
49	0.5688991359
50	0.5669697035
51	0.5651276013
52	0.5631859436
53	0.5618275203
54	0.5603593573
55	0.5587118464
56	0.5567019487
57	0.5548249849
58	0.5533920013
59	0.5514736896
60	0.5496227129
61	0.5481075471
62	0.546701592
63	0.5456138342
64	0.5438052322
65	0.5415627844
66	0.5400984891
67	0.538613002
68	0.536989949
69	0.5350362758
70	0.534076121
71	0.5325868818
72	0.5310726834
73	0.5297446466
74	0.5275589773
75	0.526407779
76	0.5247816025
77	0.5229422508
78	0.5216803673
79	0.5205580081
80	0.5190176253
81	0.5168493018
82	0.5152089944
83	0.5142742736
84	0.5129587175
85	0.5114916733
86	0.5098991601
87	0.5089148756
88	0.5076538534
89	0.5065748241
90	0.5059889058
91	0.5050376033
92	0.5035341623
93	0.5024584063
94	0.5009512212
95	0.4999879579
96	0.4989439226
97	0.4977999348
98	0.496929218
99	0.4958991838
100	0.4944810331
101	0.4935301526
102	0.4923327787
103	0.4910806578
104	0.4902111962
105	0.488816779
106	0.4875957099
107	0.4863671642
108	0.4850007456
109	0.4835966774
110	0.4824959087
111	0.4807563581
112	0.4794424456
113	0.478104609
114	0.476845808
115	0.4756238238
116	0.4744911786
117	0.4732853847
118	0.4720032144
119	0.4707939502
120	0.4696358304
121	0.4685172434
122	0.4676855178
123	0.4667221315
124	0.4658541768
125	0.4649286959
126	0.4635993065
127	0.462609411
128	0.4615296249
129	0.4605827035
130	0.4596692573
131	0.4585374187
132	0.4574494826
133	0.4562672807
134	0.4553595844
135	0.4542984932
136	0.4534087502
137	0.452088605
138	0.4511835954
139	0.4503994231
140	0.4495648207
141	0.4490041212
142	0.4480076406
143	0.4473232993
144	0.446519063
145	0.4455443919
146	0.4447751846
147	0.4441241826
148	0.4433420803
149	0.442492197
150	0.4418882752
151	0.4413192219
152	0.440787138
153	0.4396755122
154	0.4390891086
155	0.4378492551
156	0.4369168808
157	0.4362768715
158	0.4359775368
159	0.4353876985
160	0.4344641042
161	0.4339321943
162	0.4334051412
163	0.4324542337
164	0.4320065426
165	0.4312472462
166	0.4303083211
167	0.4295129517
168	0.4287092649
169	0.4281773298
170	0.4274341016
171	0.42632468
172	0.4255812856
173	0.4247547343
174	0.4240711773
175	0.4231445941
176	0.4221856607
177	0.4215795611
178	0.4208624872
179	0.4202441764
180	0.4198651532
181	0.4189836753
182	0.418579291
183	0.4181978024
184	0.4174969507
185	0.4166365129
186	0.4160031088
187	0.415378938
188	0.4146227354
189	0.4137804694
190	0.4132109476
191	0.4124297425
192	0.4116939799
193	0.4113630579
194	0.4104572578
195	0.409839888
196	0.4094430735
197	0.4090901208
198	0.4081862357
199	0.4076326496
200	0.4071205147
201	0.4066081878
202	0.405944549
203	0.4054476526
204	0.404669469
205	0.4038373919
206	0.4033193012
207	0.4028435381
208	0.4023388855
209	0.4014487097
210	0.4009777864
211	0.4004723978
212	0.4000147751
213	0.3994545734
214	0.3989509975
215	0.3981820187
216	0.3980834253
217	0.3977175989
218	0.3970257177
219	0.3960959975
220	0.395528117
221	0.3951825445
222	0.3946617493
223	0.3941820459
224	0.3936322915
225	0.3930242379
226	0.3924124246
227	0.3922096891
228	0.3916669015
229	0.3910337452
230	0.3903136863
231	0.3897974901
232	0.3893872147
233	0.388617661
234	0.3881321416
235	0.3877910178
236	0.3874593493
237	0.387173435
238	0.386899678
239	0.3862900742
240	0.3859360393
241	0.3855057937
242	0.3850038509
243	0.3845782211
244	0.3842040637
245	0.3837007899
246	0.3831978636
247	0.3827872974
248	0.3824726893
249	0.3820833769
250	0.3816475644
251	0.3812179255
252	0.3807794202
253	0.3802515974
254	0.3797935466
255	0.3793467828
256	0.3791395897
257	0.3785740572
258	0.3784159097
259	0.3780294365
260	0.3775765387
261	0.3771089733
262	0.3768396839
263	0.3764616713
264	0.3760051178
265	0.3755842547
266	0.3751911398
267	0.374979157
268	0.3746185598
269	0.3743026066
270	0.373721403
271	0.373207949
272	0.3728336353
273	0.3720869031
274	0.3715818913
275	0.3711099105
276	0.3706865396
277	0.3704826187
278	0.3700162216
279	0.3695480799
280	0.3690467715
281	0.3685796316
282	0.3682632089
283	0.3678480282
284	0.3674417183
285	0.3669782581
286	0.3667134423
287	0.3663166956
288	0.3659766851
289	0.3656347772
290	0.3650051136
291	0.3645441846
292	0.3642019768
293	0.3637390403
294	0.3633997709
295	0.3629367711
296	0.3625823123
297	0.3623751527
298	0.3618656678
299	0.361618538
300	0.3613762462
301	0.3610872401
302	0.3606365853
303	0.3603397018
304	0.3597116456
305	0.3592425487
306	0.3587899688
307	0.358400971
308	0.3581597425
309	0.3577239833
310	0.3572233117
311	0.35693742
312	0.3565625862
313	0.3561590774
314	0.3558064695
315	0.3555686046
316	0.3549442712
317	0.3546029015
318	0.3543125557
319	0.353938501
320	0.3535415731
321	0.3531559146
322	0.3528733287
323	0.3524849214
324	0.3521754297
325	0.3517328119
326	0.3513632052
327	0.3510543617
328	0.3508752581
329	0.3505320569
330	0.3502806347
331	0.3500416819
332	0.3497854674
333	0.3493494807
334	0.3491546764
335	0.3486487761
336	0.3483605621
337	0.3481350058
338	0.3477878578
339	0.3475280921
340	0.3470807925
341	0.3467127215
342	0.3463181649
343	0.3460518165
344	0.3457530833
345	0.345430241
346	0.3451971324
347	0.3449405572
348	0.3448287801
349	0.3446363241
350	0.3445328228
351	0.3443420134
352	0.3440555256
353	0.3439554644
354	0.3437788845
355	0.3435044595
356	0.3431731198
357	0.3429839251
358	0.3425011797
359	0.3423634987
360	0.3420036351
361	0.3416184173
362	0.3412382679
363	0.34087621
364	0.3406171728
365	0.3401081364
366	0.3397305377
367	0.3394101393
368	0.339132051
369	0.3388792733
370	0.3386452113
371	0.3384852302
372	0.3381252158
373	0.3378783274
374	0.3376788583
375	0.337492936
376	0.3370950882
377	0.3368802796
378	0.3364466043
379	0.3361052156
380	0.3357535155
381	0.3355693895
382	0.3352624601
383	0.3350064851
384	0.3348485569
385	0.3346467571
386	0.3344614436
387	0.3343115232
388	0.3341169426
389	0.3337736193
390	0.3334162824
391	0.3330952693
392	0.3327750197
393	0.3323880189
394	0.332120253
395	0.3317235257
396	0.3315260147
397	0.3311671118
398	0.3309342713
399	0.3306372679
400	0.3302032721
401	0.3299060606
402	0.3296802637
403	0.3292069186
404	0.3289033438
405	0.3286631898
406	0.3284289699
407	0.3283980871
408	0.3278780794
409	0.3275260916
410	0.3273228739
411	0.3271054561
412	0.3269252901
413	0.3264904736
414	0.3262675594
415	0.3261242103
416	0.3258931327
417	0.3256116925
418	0.3253427009
419	0.3252204834
420	0.3250123539
421	0.3247022889
422	0.3244828175
423	0.3243058234
424	0.3240176224
425	0.3238710728
426	0.3235174937
427	0.3233476331
428	0.3232148658
429	0.3229503565
430	0.322737708
431	0.3224281372
432	0.3220154875
433	0.3218342081
434	0.3215852358
435	0.3213696919
436	0.3212242699
437	0.3209574134
438	0.3207475784
439	0.3205554462
440	0.320370641
441	0.320164212
442	0.3199087804
443	0.3198326952
444	0.319577808
445	0.3193744137
446	0.319081327
447	0.318867704
448	0.3187222359
449	0.3181783425
450	0.3179749151
451	0.3178017114
452	0.3176101715
453	0.3173100453
454	0.3168568155
455	0.3166957109
456	0.3165911435
457	0.3164978118
458	0.316265037
459	0.3161602023
460	0.3158718783
461	0.3157326506
462	0.3154694578
463	0.3152211374
464	0.3150647078
465	0.3148863231
466	0.314554931
467	0.3142801481
468	0.3140950005
469	0.3139089451
470	0.3137140691
471	0.3134812655
472	0.3131399881
473	0.31278101
474	0.3125598674
475	0.3123399254
476	0.312219871
477	0.3119846834
478	0.3117662257
479	0.3115967494
480	0.3113501109
481	0.3111260518
482	0.3107884478
483	0.3103646697
484	0.310031663
485	0.309846543
486	0.3096853306
487	0.3094748639
488	0.3092163837
489	0.309036158
490	0.308846101
491	0.3087391444
492	0.3085416617
493	0.3082841273
494	0.3080933839
495	0.3079551501
496	0.3077469199
497	0.3074907141
498	0.3072429447
499	0.3070588432
500	0.3068948443
501	0.3068712883
502	0.3066522391
503	0.3063716416
504	0.3063098422
505	0.3061505352
506	0.3059300873
507	0.3057513473
508	0.3054909513
509	0.305380851
510	0.3051075875
511	0.3049186531
512	0.3045995548
513	0.3044579494
514	0.3043793132
515	0.3041205817
516	0.3037789647
517	0.3035718821
518	0.3034960101
519	0.3032805217
520	0.3031052143
521	0.3028554007
522	0.302796934
523	0.3025519208
524	0.3022672616
525	0.3021053025
526	0.3020102255
527	0.3018553706
528	0.3016026764
529	0.3013752478
530	0.3011972274
531	0.3010641474
532	0.300820754
533	0.3005507999
534	0.3003129196
535	0.3000418226
536	0.2997996054
537	0.2996495804
538	0.2994475591
539	0.2992508515
540	0.2988320491
541	0.2987160963
542	0.298511616
543	0.2983412369
544	0.2982001163
545	0.2980123222
546	0.29787944
547	0.2976046921
548	0.2972886844
549	0.2970657054
550	0.2969423047
551	0.2966215758
552	0.2964695561
553	0.296275636
554	0.2958822123
555	0.2957207325
556	0.2955365681
557	0.2952840391
558	0.2950450909
559	0.2949326519
560	0.2948159188
561	0.2946490567
562	0.2944915061
563	0.2943189475
564	0.2941713001
565	0.2940258262
566	0.2938647576
567	0.2936360657
568	0.2934455124
569	0.2931874711
570	0.2929480532
571	0.2928545789
572	0.2926827137
573	0.2925489994
574	0.2922728434
