iter	Logloss
0	0.690282416
1	0.6883007911
2	0.6848771581
3	0.6817488245
4	0.6784670713
5	0.67527104
6	0.6714612137
7	0.6678451279
8	0.6643415767
9	0.6611175595
10	0.6582893449
11	0.6552730715
12	0.6513458873
13	0.647444042
14	0.6447655182
15	0.6415150436
16	0.6388396975
17	0.635578887
18	0.6326876868
19	0.6297873417
20	0.6271632899
21	0.6241226487
22	0.6215567757
23	0.6185349406
24	0.6157833826
25	0.612444387
26	0.610937159
27	0.6080640714
28	0.6054076176
29	0.6024253466
30	0.6003607251
31	0.5980374739
32	0.5957072607
33	0.5927884538
34	0.5899113005
35	0.5870605907
36	0.5841303181
37	0.5812790483
38	0.5781468179
39	0.5760748729
40	0.5734820776
41	0.5707093316
42	0.5684795274
43	0.5671524736
44	0.5651283652
45	0.5638532555
46	0.5615847193
47	0.5592830139
48	0.5567601746
49	0.5541964235
50	0.5521936912
51	0.5507901771
52	0.5483898204
53	0.5461628087
54	0.5438690465
55	0.5412023609
56	0.5402804353
57	0.537528452
58	0.5353277625
59	0.533105143
60	0.5309128157
61	0.5290761094
62	0.5265311076
63	0.5256813536
64	0.5233644076
65	0.5217775879
66	0.5204241376
67	0.5182431522
68	0.5160501125
69	0.5140552094
70	0.5132393585
71	0.5110610181
72	0.5090618123
73	0.5072371218
74	0.5054855797
75	0.5040394753
76	0.5019080309
77	0.5000452898
78	0.4984038588
79	0.4966309941
80	0.4947731899
81	0.4926440874
82	0.490384052
83	0.4890680563
84	0.486782651
85	0.4849972526
86	0.4842139586
87	0.4825866322
88	0.4806670957
89	0.479084128
90	0.4771057287
91	0.4751985033
92	0.4733822204
93	0.4716890249
94	0.4701439552
95	0.4684873181
96	0.4674746614
97	0.4655848672
98	0.4636381072
99	0.4619302215
100	0.4605104659
101	0.4587145033
102	0.4571062643
103	0.4550846228
104	0.4533209953
105	0.4519519846
106	0.450169328
107	0.4487776367
108	0.4473001181
109	0.4462604022
110	0.4454961912
111	0.4438576495
112	0.4429787594
113	0.441609248
114	0.4402734819
115	0.4391719568
116	0.4385811507
117	0.4371867402
118	0.4359773273
119	0.4341230088
120	0.4324591578
121	0.4310586989
122	0.4292486424
123	0.4277790356
124	0.426585646
125	0.4251127416
126	0.4237247465
127	0.4222183908
128	0.4208408379
129	0.4195250742
130	0.4179960701
131	0.4164382234
132	0.4151258786
133	0.41356194
134	0.4120485618
135	0.4105239937
136	0.4095559141
137	0.4082828397
138	0.4072239809
139	0.4058746778
140	0.4049578861
141	0.4036013852
142	0.4022122831
143	0.4009172705
144	0.3996546693
145	0.3989189121
146	0.3976728709
147	0.3964266515
148	0.3953942424
149	0.3940666791
150	0.3928058815
151	0.3916692675
152	0.3910592985
153	0.3899124734
154	0.3883121491
155	0.3871945295
156	0.3862454697
157	0.3858001803
158	0.385280667
159	0.384415145
160	0.3832012161
161	0.3826791517
162	0.3815792182
163	0.3801793279
164	0.378897262
165	0.3778819742
166	0.3769169162
167	0.3757856429
168	0.3751577253
169	0.3738803902
170	0.3729546916
171	0.3717807692
172	0.3705496881
173	0.3694915818
174	0.368246768
175	0.3671384094
176	0.3658845378
177	0.3652632072
178	0.3643510249
179	0.363298067
180	0.3627999548
181	0.3618128693
182	0.3609132018
183	0.3599840521
184	0.3593482904
185	0.3584415397
186	0.357701723
187	0.3567132514
188	0.3557796275
189	0.354876235
190	0.3539902238
191	0.3530447293
192	0.3519637466
193	0.3511230823
194	0.350443766
195	0.3493134811
196	0.3484540138
197	0.3473087723
198	0.3466189833
199	0.345685444
200	0.3450401666
201	0.3446489213
202	0.343964143
203	0.3431633787
204	0.3423895506
205	0.3418172124
206	0.3411530844
207	0.3400965295
208	0.3390525715
209	0.3381056126
210	0.3373305371
211	0.3361928759
212	0.3352228111
213	0.3342987003
214	0.333232366
215	0.3324486947
216	0.3314598537
217	0.3307665925
218	0.3300958432
219	0.3292875121
220	0.3284245945
221	0.3276938175
222	0.3269748671
223	0.326764056
224	0.3256882311
225	0.3247845122
226	0.324199939
227	0.323474162
228	0.3227266247
229	0.322053175
230	0.321370873
231	0.3207870278
232	0.319737092
233	0.3188441903
234	0.3183926344
235	0.3175133978
236	0.3167661974
237	0.3163238438
238	0.3158092266
239	0.3150366519
240	0.3144982077
241	0.3136705076
242	0.3130383445
243	0.3125832191
244	0.3119348076
245	0.3110574074
246	0.3103600711
247	0.309918637
248	0.3090707571
249	0.3084049918
250	0.3079923865
251	0.3071460538
252	0.3068137359
253	0.3061891782
254	0.3054269497
255	0.304691693
256	0.3037057823
257	0.3030389251
258	0.3024783511
259	0.3018284918
260	0.3012057627
261	0.3007910336
262	0.3003463677
263	0.2999982111
264	0.2994197011
265	0.2987176438
266	0.2981165762
267	0.2975332424
268	0.2969002339
269	0.2962214072
270	0.2956967307
271	0.2948789402
272	0.2943171483
273	0.2936038481
274	0.2931204442
275	0.2925763164
276	0.2918533907
277	0.2912161325
278	0.2904203521
279	0.2896776774
280	0.2890298599
281	0.2885728817
282	0.2880647504
283	0.2875213644
284	0.2870879089
285	0.2866496596
286	0.2860956572
287	0.2853898541
288	0.2847397488
289	0.2841045544
290	0.2835278279
291	0.2828209658
292	0.2822394012
293	0.2816353977
294	0.2809753938
295	0.2803725368
296	0.2799090096
297	0.2792964138
298	0.2787794513
299	0.2783105991
300	0.2776532947
301	0.2773567235
302	0.2766748176
303	0.2762207169
304	0.275773204
305	0.2750443503
306	0.2746724617
307	0.2743042407
308	0.2738293274
309	0.2732100618
310	0.2725333453
311	0.2719960631
312	0.2715428307
313	0.2710152666
314	0.2705690844
315	0.2699152552
316	0.2695749182
317	0.2687978706
318	0.268226706
319	0.2676976378
320	0.2670341992
321	0.2663458704
322	0.2662428774
323	0.2657223471
324	0.2652800392
325	0.264660123
326	0.2642017375
327	0.2635827703
328	0.2630431018
329	0.262571941
330	0.2621213346
331	0.26161062
332	0.2611424805
333	0.2605743793
334	0.2602181705
335	0.2597041565
336	0.2593076905
337	0.258851045
338	0.2585162554
339	0.258120265
340	0.2578143004
341	0.2573109409
342	0.2569102932
343	0.2564031046
344	0.2558412679
345	0.2552693068
346	0.2546791037
347	0.2543196957
348	0.2538531913
349	0.2534136755
350	0.253020175
351	0.2524947993
352	0.2518542967
353	0.2514088289
354	0.2511247743
355	0.2508964298
356	0.2505637052
357	0.2500406377
358	0.2494909662
359	0.2488915684
360	0.2483319441
361	0.2478537323
362	0.2475477466
363	0.2470558083
364	0.2466898882
365	0.2462642214
366	0.2460240726
367	0.2455722745
368	0.2451729022
369	0.2445933963
370	0.2442337968
371	0.2438236492
372	0.243490121
373	0.2432190112
374	0.242803856
375	0.2424102971
376	0.2421710774
377	0.2418044425
378	0.2414100466
379	0.2411212604
380	0.2406079
381	0.2402133291
382	0.2397631128
383	0.2395205155
384	0.2390309183
385	0.2389670361
386	0.2385092631
387	0.238013295
388	0.2378375653
389	0.2375663984
390	0.2372530069
391	0.2369346327
392	0.2364723095
393	0.2362298226
394	0.2358333257
395	0.2355325797
396	0.2351809554
397	0.2346741063
398	0.2342598024
399	0.2338749783
400	0.2334689578
401	0.233111286
402	0.2326506393
403	0.2323183498
404	0.2320849701
405	0.2317196989
406	0.2315221818
407	0.2309850158
408	0.2307225238
409	0.2306112114
410	0.2300328105
411	0.2296482954
412	0.229608857
413	0.2292166488
414	0.22869643
415	0.2284768579
416	0.2279896005
417	0.2275899146
418	0.2273131436
419	0.226776375
420	0.2261949917
421	0.2257593862
422	0.2253078725
423	0.2250391465
424	0.2248804857
425	0.2245391464
426	0.2241204132
427	0.2235297125
428	0.2231585261
429	0.2227257351
430	0.2225450053
431	0.2222412212
432	0.2218486451
433	0.2214548888
434	0.2211737903
435	0.2208945455
436	0.2205020202
437	0.2201450826
438	0.2195978262
439	0.2193615081
440	0.2190475117
441	0.218687364
442	0.2184072572
443	0.2181026821
444	0.2177870684
445	0.2174657858
446	0.2171231627
447	0.2168752792
448	0.2165850917
449	0.216101865
450	0.2157472478
451	0.2155114383
452	0.2153819774
453	0.2151291586
454	0.2149139064
455	0.2143721031
456	0.2142610296
457	0.2142174227
458	0.2138962348
459	0.2135564414
460	0.2133514463
461	0.2130945249
462	0.2127922105
463	0.2123941318
464	0.2119942963
465	0.2115974363
466	0.2113486761
467	0.2110117594
468	0.2108162663
469	0.2104674392
470	0.2102088201
471	0.2098649935
472	0.2096151866
473	0.2093332659
474	0.2089944097
475	0.2085922559
476	0.2083319324
477	0.2080892629
478	0.207744185
479	0.2076455811
480	0.2072478592
481	0.2068510977
482	0.206393329
483	0.2060562482
484	0.2056664355
485	0.2053297056
486	0.2050411524
487	0.204847346
488	0.2045669818
489	0.2043562908
490	0.2041430888
491	0.2039336702
492	0.2035914397
493	0.2033008159
494	0.203117877
495	0.2028532358
496	0.2025296587
497	0.2021617729
498	0.2018760189
499	0.2015108158
500	0.2011202109
501	0.2007496036
502	0.2006090414
503	0.2003506811
504	0.2000014917
505	0.1997745198
506	0.1995405069
507	0.1992443927
508	0.1988276353
509	0.1984160707
510	0.1983155528
511	0.198075549
512	0.1977680812
513	0.1976068079
514	0.1974591532
515	0.1971861073
516	0.1968286697
517	0.1967723446
518	0.1965110361
519	0.1962775575
520	0.1959844008
521	0.1956573091
522	0.1953970067
523	0.19515721
524	0.1949166322
525	0.194609199
526	0.1942287159
527	0.1940007996
528	0.1936255271
529	0.1933739008
530	0.1931048691
531	0.1928202658
532	0.1924022377
533	0.192025839
534	0.1917618378
535	0.1916550745
536	0.1914517499
537	0.1910915831
538	0.1907953861
539	0.1905685105
540	0.1904001828
541	0.1901092022
542	0.1898315663
543	0.1895989078
544	0.1894595513
545	0.1891827355
546	0.1889113416
547	0.1887502171
548	0.1885261933
549	0.1881562184
550	0.1878736687
551	0.1874351349
552	0.1873664467
553	0.1871907212
554	0.1870027924
555	0.1866654656
556	0.1865956411
557	0.1862260754
558	0.1858011653
559	0.1856273861
560	0.1853639149
561	0.1852114395
562	0.1850481118
563	0.1847990193
564	0.1845109175
565	0.1840515551
566	0.1838309672
567	0.1834554934
568	0.1834242699
569	0.1831101568
570	0.1826810795
571	0.1824456614
572	0.1822058115
573	0.181970029
574	0.1817430596
575	0.1814288966
576	0.1811051064
577	0.1809117473
578	0.1806071227
579	0.1804232936
580	0.1803159621
581	0.1800535342
582	0.1798211184
583	0.1796730342
584	0.1793685408
585	0.1790614094
586	0.1788142142
587	0.1785136681
588	0.1782116391
589	0.178038231
590	0.177713532
591	0.1774041331
592	0.1771525398
593	0.1769494596
594	0.1769329377
595	0.1767951538
596	0.176544137
597	0.1763563215
598	0.1762615696
599	0.1758681899
600	0.175716702
601	0.1755899039
602	0.1752965924
603	0.1751292065
604	0.1748809535
605	0.1747288991
606	0.1745581669
607	0.1741875106
608	0.1739419555
609	0.1737195253
610	0.1736161734
611	0.1734566807
612	0.1732026246
613	0.1729639084
614	0.172692107
615	0.1724939177
616	0.1722994172
617	0.1719960668
618	0.1717737076
619	0.1715772152
620	0.1714719069
621	0.1711965402
622	0.1709206231
623	0.1707153912
624	0.1703862391
625	0.1701337674
626	0.1699580073
