iter	MultiClass
0	0.6901574911
1	0.6869593001
2	0.6832306035
3	0.6796595963
4	0.6760975445
5	0.6726416316
6	0.669824325
7	0.665875368
8	0.6624636297
9	0.6594214441
10	0.6562953536
11	0.6539771306
12	0.6507315662
13	0.6477864518
14	0.6446553813
15	0.6417586276
16	0.6394742558
17	0.6372210328
18	0.6344325349
19	0.6317345211
20	0.6292335191
21	0.6270907966
22	0.6239556727
23	0.6214407463
24	0.6191358922
25	0.6163568912
26	0.6140788276
27	0.6115017433
28	0.6086852423
29	0.6068879966
30	0.6044074396
31	0.6012008319
32	0.5989913849
33	0.5966233541
34	0.5937310687
35	0.5906966052
36	0.5884989089
37	0.5858206515
38	0.5848250544
39	0.5821032788
40	0.5802064676
41	0.5773656536
42	0.5754490396
43	0.5735415177
44	0.5716146273
45	0.5694934342
46	0.5672228487
47	0.5658654577
48	0.5641052851
49	0.5618528856
50	0.5593822196
51	0.5575022853
52	0.5556370046
53	0.5535464732
54	0.5520869465
55	0.5502646602
56	0.548475947
57	0.5464239026
58	0.5447619969
59	0.5426408511
60	0.5408442823
61	0.5392184781
62	0.5372992775
63	0.5357655347
64	0.5340689479
65	0.532405349
66	0.5312653217
67	0.5291980805
68	0.528355807
69	0.5271616778
70	0.5254552115
71	0.5244007518
72	0.5226892405
73	0.5216725625
74	0.5204678245
75	0.5187494201
76	0.5169146269
77	0.515706416
78	0.5139838207
79	0.5120844011
80	0.5102517662
81	0.5086646403
82	0.5072224272
83	0.5058498674
84	0.5045388382
85	0.5031357079
86	0.5018333419
87	0.5002056592
88	0.4995280751
89	0.4978001102
90	0.4961965947
91	0.4950636112
92	0.4936888306
93	0.4922439472
94	0.4908128425
95	0.4898360377
96	0.4887190991
97	0.487460322
98	0.486364314
99	0.4850771968
100	0.4840664411
101	0.4828419312
102	0.4816272497
103	0.4802395795
104	0.4790077303
105	0.4780252582
106	0.4767433704
107	0.4761420139
108	0.4748456903
109	0.4739197143
110	0.4726208587
111	0.4715593717
112	0.4710027572
113	0.4697597909
114	0.4688088932
115	0.467750676
116	0.4666406463
117	0.4656883808
118	0.4646829352
119	0.4636384281
120	0.4629832197
121	0.4617778164
122	0.4612060818
123	0.4605585736
124	0.4592746807
125	0.4583653575
126	0.4572889895
